x_coordinate,y_coordinate,Azimuth,Elevation,Beam Strength(dB),Beam Number
1.0,5.0,319.4565172715642,20.081287179742986,-22.0,10.0
3.0,2.0,25.85735174313431,53.897006356814295,-26.0,0.0
7.0,6.0,279.5181285439663,25.652224548839758,-20.0,9.0
2.0,7.0,137.1082414866428,56.823682887732815,-26.0,4.0
1.0,2.0,121.84818638592691,48.65427420413167,-27.0,4.0
3.0,3.0,127.6993805338088,13.250763541543334,-22.0,4.0
4.0,4.0,182.95522753773426,32.198137089218115,-24.0,6.0
4.0,0.0,182.72293721997727,27.06409761832315,-29.0,6.0
5.0,7.0,262.873335024102,64.44905486209012,-22.0,8.0
7.0,4.0,111.88387931391358,12.560402171445265,-25.0,3.0
0.0,4.0,280.6240035514952,29.804628882736253,-22.0,9.0
3.0,7.0,265.30064511303567,66.06369686776182,-29.0,8.0
6.0,7.0,196.5395210640703,87.9339938125274,-28.0,6.0
3.0,3.0,21.34633296968169,46.2840553753327,-24.0,0.0
2.0,4.0,179.4539248584544,50.5853922944271,-28.0,5.0
1.0,0.0,101.19121689735458,2.4919366038084823,-30.0,3.0
5.0,0.0,159.18089432765683,18.62316920427786,-29.0,5.0
7.0,5.0,316.398929309652,34.24754137273477,-23.0,10.0
7.0,2.0,215.55276697181847,82.828736775478,-20.0,7.0
1.0,6.0,303.4876709942593,31.372496341306015,-20.0,10.0
7.0,7.0,320.3971468121423,24.84941833354106,-30.0,10.0
7.0,7.0,339.55073395618024,40.365263605552826,-24.0,11.0
3.0,4.0,181.40131520484059,11.004882418323579,-22.0,6.0
7.0,0.0,305.76137238754745,41.3619662982799,-27.0,10.0
7.0,1.0,29.5232777799073,10.468381767609959,-28.0,0.0
4.0,2.0,94.69342525964403,46.76806671662508,-30.0,3.0
7.0,2.0,326.4349044763196,5.402774413134117,-21.0,10.0
7.0,1.0,28.149299240696397,8.994891755436463,-30.0,0.0
3.0,2.0,277.07639400074413,23.234066257314318,-22.0,9.0
5.0,7.0,61.740895877925,9.56160469017474,-21.0,2.0
1.0,2.0,88.53838423006792,23.131363733978404,-28.0,2.0
6.0,3.0,68.36372892704689,71.05436444777222,-29.0,2.0
6.0,2.0,3.7103600681271396,86.26375122499012,-23.0,0.0
1.0,7.0,163.89017408062173,74.14045356858168,-29.0,5.0
0.0,2.0,6.287881328165955,0.6348897440045298,-24.0,0.0
6.0,4.0,45.66592542056828,63.47484074072824,-29.0,1.0
0.0,2.0,61.14966590569591,52.26222175346857,-27.0,2.0
4.0,2.0,244.2339161711842,86.63156571829471,-24.0,8.0
4.0,4.0,221.46058637262908,39.69104871315686,-20.0,7.0
3.0,0.0,89.55732210347581,52.08321336613725,-20.0,2.0
3.0,5.0,153.44803848955792,67.48822890233045,-24.0,5.0
1.0,1.0,274.4152165936326,30.752418557571975,-23.0,9.0
4.0,7.0,118.52729481688277,3.2911197737073294e-05,-30.0,3.0
2.0,3.0,159.96561934595746,62.08180691117073,-30.0,5.0
4.0,6.0,344.1523649227933,37.23256533698656,-20.0,11.0
3.0,5.0,232.6075755550664,30.93643860451042,-21.0,7.0
6.0,4.0,32.37532289143708,37.6895276905047,-23.0,1.0
2.0,3.0,114.51297653361217,49.22191038782599,-24.0,3.0
5.0,1.0,153.13547145326632,72.41400611679653,-27.0,5.0
6.0,1.0,298.4626536919718,57.28675702910983,-21.0,9.0
4.0,1.0,281.4960000940072,35.71126693097301,-22.0,9.0
7.0,3.0,111.34038010273105,64.12519067382415,-25.0,3.0
